City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sechura,PE,-5.5569,-80.8222,75.16,63,93,17.98,overcast clouds
1,Rong Kwang,TH,18.339,100.3174,79.45,84,100,1.86,overcast clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,74.25,83,62,7.4,broken clouds
3,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,0,10.36,clear sky
4,Jamestown,US,42.097,-79.2353,60.44,25,0,8.05,clear sky
5,Georgetown,MY,5.4112,100.3354,82.33,92,20,2.3,few clouds
6,Kavieng,PG,-2.5744,150.7967,83.73,69,93,1.5,overcast clouds
7,Pemangkat,ID,1.1667,108.9667,78.51,85,100,4.03,overcast clouds
8,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,6.91,scattered clouds
9,Darnah,LY,32.767,22.6367,62.98,64,53,8.59,broken clouds
10,Lompoc,US,34.6391,-120.4579,77.77,67,0,28.77,clear sky
11,Bredasdorp,ZA,-34.5322,20.0403,54.86,90,29,5.17,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,57.47,73,100,3.71,overcast clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,74.1,86,98,12.71,light rain
14,Jamsa,FI,61.8642,25.19,36.32,93,99,4.47,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,75.97,75,68,10.67,moderate rain
16,Hilo,US,19.7297,-155.09,79.29,83,100,6.91,overcast clouds
17,Nordhausen,DE,51.5167,10.8,51.21,72,89,3.94,overcast clouds
18,Great Falls,US,47.5002,-111.3008,56.66,36,75,13.8,broken clouds
19,Narsaq,GL,60.9167,-46.05,50.22,73,40,0.58,scattered clouds
20,Sevnica,SI,46.0078,15.3156,53.65,76,88,2.1,overcast clouds
21,Bluff,NZ,-46.6,168.3333,57.79,89,100,11.05,moderate rain
22,Yulara,AU,-25.2406,130.9889,58.84,72,100,8.05,overcast clouds
23,Upernavik,GL,72.7868,-56.1549,9.81,78,35,4.45,scattered clouds
24,Hasaki,JP,35.7333,140.8333,57.6,63,100,16.26,overcast clouds
25,Talcahuano,CL,-36.7167,-73.1167,53.28,76,0,8.05,clear sky
26,Albany,US,42.6001,-73.9662,57.72,58,79,8.21,broken clouds
27,Busselton,AU,-33.65,115.3333,54.77,87,0,5.32,clear sky
28,Cherskiy,RU,68.75,161.3,20.39,83,91,8.25,overcast clouds
29,Gari,RU,59.4307,62.3497,30.79,65,47,7.29,scattered clouds
30,Chokurdakh,RU,70.6333,147.9167,19.06,91,59,8.63,broken clouds
31,Bluefield,US,37.2698,-81.2223,63.36,68,75,5.75,broken clouds
32,Saint Anthony,US,45.0205,-93.218,52.66,89,100,14.97,moderate rain
33,Hermanus,ZA,-34.4187,19.2345,57.87,86,44,4.09,scattered clouds
34,Butaritari,KI,3.0707,172.7902,81.0,81,78,13.53,broken clouds
35,Ushuaia,AR,-54.8,-68.3,38.86,70,20,4.61,few clouds
36,Vaini,TO,-21.2,-175.2,80.76,89,75,10.36,broken clouds
37,Kaeo,NZ,-35.1,173.7833,65.32,90,65,7.9,broken clouds
38,Hambantota,LK,6.1241,81.1185,80.98,85,100,13.96,overcast clouds
39,Tautira,PF,-17.7333,-149.15,80.04,74,35,13.31,light rain
40,Sorland,NO,67.667,12.6934,38.28,68,63,12.86,broken clouds
41,Carnarvon,AU,-24.8667,113.6333,62.67,59,0,5.75,clear sky
42,Churapcha,RU,62.0025,132.4325,34.3,76,22,5.37,few clouds
43,Kysyl-Syr,RU,63.8986,122.7617,34.34,98,100,9.57,overcast clouds
44,Mahebourg,MU,-20.4081,57.7,77.29,83,40,6.91,scattered clouds
45,Namibe,AO,-15.1961,12.1522,74.66,83,24,7.02,few clouds
46,Kapaa,US,22.0752,-159.319,82.38,76,40,18.41,scattered clouds
47,Hobart,AU,-42.8794,147.3294,61.05,55,40,14.97,scattered clouds
48,Tadine,NC,-21.55,167.8833,76.41,84,100,18.25,overcast clouds
49,Houma,US,29.5958,-90.7195,84.2,65,0,7.0,clear sky
50,Jakar,BT,27.5492,90.7525,48.43,94,100,1.88,overcast clouds
51,Launceston,AU,-41.45,147.1667,59.81,84,98,13.8,light rain
52,Yakima,US,46.4665,-120.6678,55.33,78,100,1.99,overcast clouds
53,Lata,PT,40.1629,-8.3327,52.34,87,0,2.04,clear sky
54,Chaozhou,CN,23.6651,116.6379,67.86,93,100,2.35,overcast clouds
55,Meulaboh,ID,4.1363,96.1285,78.01,88,99,3.49,moderate rain
56,San Cristobal,VE,7.7669,-72.225,77.18,97,99,5.19,overcast clouds
57,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,13.8,scattered clouds
58,Qaanaaq,GL,77.484,-69.3632,10.83,79,66,3.83,broken clouds
59,Yellowknife,CA,62.456,-114.3525,35.56,60,0,8.05,clear sky
60,Huarmey,PE,-10.0681,-78.1522,68.5,83,78,10.31,broken clouds
61,Torbay,CA,47.6666,-52.7314,43.75,96,100,8.05,light rain
62,Carutapera,BR,-1.195,-46.02,75.51,94,31,4.94,scattered clouds
63,Ende,ID,-8.8432,121.6623,78.67,87,94,2.15,overcast clouds
64,Teberda,RU,43.4456,41.7448,45.23,89,77,5.14,broken clouds
65,Tiksi,RU,71.6872,128.8694,33.57,95,100,12.1,overcast clouds
66,Buraydah,SA,26.326,43.975,77.45,37,2,11.18,clear sky
67,Itaituba,BR,-4.2761,-55.9836,75.07,97,47,0.76,scattered clouds
68,Faanui,PF,-16.4833,-151.75,81.28,72,12,14.03,light rain
69,Roma,US,43.2128,-75.4557,57.38,34,0,9.22,clear sky
70,Gat,IL,31.61,34.7642,65.8,100,25,11.68,scattered clouds
71,Thompson,CA,55.7435,-97.8558,39.36,60,100,11.5,overcast clouds
72,Sitka,US,57.0531,-135.33,49.89,62,40,3.44,scattered clouds
73,Nemuro,JP,43.3236,145.575,40.21,57,97,4.97,overcast clouds
74,Port Alfred,ZA,-33.5906,26.891,59.63,83,6,13.06,clear sky
75,Whitehorse,CA,60.7161,-135.0538,48.97,34,75,17.27,broken clouds
76,Garissa,KE,-0.4536,39.6401,78.58,79,82,16.98,broken clouds
77,Makakilo City,US,21.3469,-158.0858,82.72,55,20,20.71,few clouds
78,Punta Arenas,CL,-53.15,-70.9167,41.11,80,87,6.87,overcast clouds
79,Bengkulu,ID,-3.8004,102.2655,74.84,93,94,5.64,moderate rain
80,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,86,20,2.59,few clouds
81,Kaitangata,NZ,-46.2817,169.8464,57.81,71,100,2.53,moderate rain
82,Dikson,RU,73.5069,80.5464,17.44,94,100,17.16,overcast clouds
83,Cape Town,ZA,-33.9258,18.4232,60.91,84,0,7.0,clear sky
84,Nanortalik,GL,60.1432,-45.2371,36.45,88,99,3.02,overcast clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,40,9.22,scattered clouds
86,East London,ZA,-33.0153,27.9116,61.97,70,2,11.99,clear sky
87,Mount Isa,AU,-20.7333,139.5,76.77,61,39,8.05,scattered clouds
88,Harper,LR,4.375,-7.7169,80.8,80,99,6.71,overcast clouds
89,Tasiilaq,GL,65.6145,-37.6368,33.96,68,32,2.46,scattered clouds
90,Palencia,ES,42.4167,-4.5,53.92,73,98,6.78,overcast clouds
91,Balkhash,KZ,46.844,74.9804,59.04,47,2,1.95,clear sky
92,Uvira,CD,-3.4067,29.1458,70.54,87,90,2.17,light rain
93,Menzelinsk,RU,55.7271,53.1026,40.53,76,98,3.65,overcast clouds
94,Inirida,CO,3.8653,-67.9239,72.55,97,98,3.13,overcast clouds
95,Sola,VU,-13.8833,167.55,81.72,69,99,1.77,overcast clouds
96,Veraval,IN,20.9,70.3667,81.57,87,1,9.69,clear sky
97,Geraldton,AU,-28.7667,114.6,54.01,76,0,11.5,clear sky
98,Norman Wells,CA,65.282,-126.8329,48.24,46,0,13.8,clear sky
99,Constitucion,CL,-35.3333,-72.4167,53.47,68,2,10.02,clear sky
100,Hithadhoo,MV,-0.6,73.0833,85.06,68,100,14.07,overcast clouds
101,Mitu,CO,1.1983,-70.1733,72.27,97,74,1.97,broken clouds
102,Enshi,CN,30.3,109.4833,55.36,94,100,0.27,overcast clouds
103,Roebourne,AU,-20.7833,117.1333,74.98,59,91,11.83,overcast clouds
104,San Fernando,PH,15.0286,120.6898,87.53,71,84,3.31,broken clouds
105,Dunedin,NZ,-45.8742,170.5036,61.81,56,89,6.13,overcast clouds
106,Puerto Penasco,MX,31.3167,-113.5333,77.92,69,90,1.99,overcast clouds
107,Korla,CN,41.7597,86.1469,56.26,30,4,3.8,clear sky
108,Vrede,ZA,-27.4257,29.1659,44.19,85,1,3.83,clear sky
109,Mahibadhoo,MV,3.7833,72.9667,85.14,73,100,16.04,overcast clouds
110,Faya,SA,18.3851,42.4509,64.51,45,44,10.85,scattered clouds
111,Ostrovnoy,RU,68.0531,39.5131,15.49,89,95,9.42,overcast clouds
112,Talnakh,RU,69.4865,88.3972,20.21,96,100,10.96,overcast clouds
113,Mujiayingzi,CN,42.1167,118.7833,45.5,40,95,9.17,overcast clouds
114,Svay Rieng,KH,11.0879,105.7993,79.34,84,100,6.35,overcast clouds
115,Ola,RU,59.5833,151.2833,35.71,63,5,4.14,clear sky
116,Nieuw Amsterdam,SR,5.8833,-55.0833,82.42,80,0,5.75,clear sky
117,Alofi,NU,-19.0595,-169.9187,76.89,94,94,4.61,overcast clouds
118,Kampot,KH,10.6167,104.1833,77.05,83,100,2.71,overcast clouds
119,Seoul,KR,37.5683,126.9778,54.97,67,0,2.3,mist
120,Sao Filipe,CV,14.8961,-24.4956,73.44,72,85,8.1,overcast clouds
121,Strezhevoy,RU,60.7333,77.5889,26.13,76,0,3.44,clear sky
122,Shadegan,IR,30.6497,48.6647,76.95,32,0,5.1,clear sky
123,College,US,64.8569,-147.8028,54.99,29,20,16.11,few clouds
124,Klyuchi,RU,52.2667,79.1667,56.34,40,83,4.59,broken clouds
125,Luzhou,CN,28.8724,105.4405,54.84,95,100,8.95,overcast clouds
126,Longyearbyen,SJ,78.2186,15.6401,10.24,61,0,5.75,clear sky
127,Pirgos,GR,35.1167,25.7178,65.62,54,3,11.41,clear sky
128,Severo-Kurilsk,RU,50.6789,156.125,35.65,91,94,11.03,overcast clouds
129,Half Moon Bay,US,37.4636,-122.4286,73.02,75,100,20.71,mist
130,Mount Gambier,AU,-37.8333,140.7667,58.91,94,75,10.36,broken clouds
131,Coihaique,CL,-45.5752,-72.0662,46.35,81,75,5.75,broken clouds
132,Saldanha,ZA,-33.0117,17.9442,53.65,89,10,11.99,clear sky
133,Broken Hill,AU,-31.95,141.4333,58.71,63,0,5.75,clear sky
134,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,5.75,clear sky
135,Yumaguzino,RU,52.9041,56.3933,44.26,67,82,2.73,broken clouds
136,Saskylakh,RU,71.9167,114.0833,8.17,88,100,16.08,overcast clouds
137,Kayes,ML,14.0,-11.0,97.52,24,81,5.84,broken clouds
138,Taltal,CL,-25.4,-70.4833,61.77,81,28,3.51,scattered clouds
139,Atuona,PF,-9.8,-139.0333,79.02,76,9,11.21,clear sky
140,Saint-Tite,CA,46.7334,-72.5658,56.25,62,90,8.16,overcast clouds
141,Aktash,RU,50.3,87.7333,35.02,40,100,4.27,overcast clouds
142,Enid,US,36.3956,-97.8784,79.02,30,0,14.97,clear sky
143,Ust-Nera,RU,64.5667,143.2,32.23,89,96,6.82,overcast clouds
144,Shingu,JP,33.7333,135.9833,59.67,89,100,5.7,light rain
145,Breves,BR,-1.6822,-50.4803,74.82,97,70,4.0,light rain
146,Nikolskoye,RU,59.7035,30.7861,37.8,78,96,7.14,overcast clouds
147,Tuatapere,NZ,-46.1333,167.6833,55.08,96,100,2.89,moderate rain
148,Indiaroba,BR,-11.5192,-37.5117,73.98,87,100,3.65,overcast clouds
149,Ystad,SE,55.4297,13.8204,37.36,82,81,3.69,broken clouds
150,Tpig,RU,41.7801,47.589,43.18,89,98,3.29,overcast clouds
151,Matanzas,CU,23.0411,-81.5775,81.36,65,20,12.66,few clouds
152,Jaguariaiva,BR,-24.2511,-49.7058,59.54,97,35,3.13,scattered clouds
153,Vardo,NO,70.3705,31.1107,27.05,83,93,17.38,light snow
154,Noumea,NC,-22.2763,166.4572,80.58,99,73,11.27,broken clouds
155,Victoria,HK,22.2855,114.1577,74.32,89,100,18.01,light rain
156,Narasapur,IN,16.45,81.6667,80.24,92,10,5.14,clear sky
157,Barstow,US,34.8986,-117.0228,90.59,8,0,21.59,clear sky
158,Kismayo,SO,-0.3582,42.5454,81.82,79,58,15.1,broken clouds
159,Thanh Hoa,VN,19.8,105.7667,74.57,90,99,8.03,overcast clouds
160,Nabire,ID,-3.3667,135.4833,77.86,87,61,2.8,broken clouds
161,Maine-Soroa,NE,13.2114,12.0241,86.54,36,95,8.39,overcast clouds
162,Beisfjord,NO,68.3751,17.5988,30.25,93,100,5.03,overcast clouds
163,Hit,IQ,33.6416,42.8251,75.69,39,68,8.93,broken clouds
164,Saint-Augustin,CA,51.226,-58.6502,38.17,92,100,15.68,overcast clouds
165,Lebu,CL,-37.6167,-73.65,50.85,77,1,14.12,clear sky
166,Sidi Ali,DZ,36.0998,0.4206,56.41,76,1,4.12,clear sky
167,Opelousas,US,30.5335,-92.0815,82.87,65,75,10.36,broken clouds
168,Saint George,US,37.1041,-113.5841,85.24,11,0,8.05,clear sky
169,Kenai,US,60.5544,-151.2583,49.03,51,40,18.41,scattered clouds
170,Correntina,BR,-13.3433,-44.6367,75.31,41,19,4.14,few clouds
171,Dalbandin,PK,28.8947,64.4101,83.88,15,40,3.83,scattered clouds
172,Bulawayo,ZW,-20.15,28.5833,59.54,53,3,5.12,clear sky
173,Kruisfontein,ZA,-34.0033,24.7314,52.88,77,6,6.89,clear sky
174,San Andres,CO,12.5847,-81.7006,84.22,74,75,13.8,broken clouds
175,Mar Del Plata,AR,-38.0023,-57.5575,51.87,70,0,5.99,clear sky
176,Amapa,BR,1.0,-52.0,72.1,97,42,1.19,scattered clouds
177,Airai,TL,-8.9266,125.4092,64.81,75,69,3.18,broken clouds
178,Jiazi,CN,22.8779,116.067,70.32,91,100,15.12,overcast clouds
179,Castro,BR,-24.7911,-50.0119,60.69,96,56,4.99,broken clouds
180,Sur,OM,22.5667,59.5289,87.33,53,95,3.87,overcast clouds
181,Ribeira Grande,PT,38.5167,-28.7,62.42,83,46,5.99,scattered clouds
182,Port Lincoln,AU,-34.7333,135.8667,60.53,79,11,8.52,few clouds
183,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,12,8.93,few clouds
184,Lokosovo,RU,61.1333,74.8167,21.87,90,9,4.99,clear sky
185,Lagoa,PT,39.05,-27.9833,60.8,86,0,9.1,clear sky
186,Kavaratti,IN,10.5669,72.642,84.63,74,29,11.39,scattered clouds
187,Barranca,PE,-10.75,-77.7667,66.2,86,62,8.08,broken clouds
188,Esperance,AU,-33.8667,121.9,53.44,66,0,6.73,clear sky
189,Asyut,EG,27.181,31.1837,75.58,24,11,12.75,few clouds
190,Ylivieska,FI,64.0833,24.55,29.32,86,90,1.3,overcast clouds
191,Razole,IN,16.4833,81.8333,78.84,95,11,3.6,few clouds
192,Barrow,US,71.2906,-156.7887,24.82,74,0,5.75,clear sky
193,Pochutla,MX,15.7432,-96.4661,82.81,48,7,8.9,clear sky
194,Kahului,US,20.8947,-156.47,80.62,68,40,19.57,scattered clouds
195,Finkenstein,AT,46.5623,13.8709,55.13,76,98,0.31,overcast clouds
196,Padang,ID,-0.9492,100.3543,77.05,89,100,3.87,overcast clouds
197,Matara,LK,5.9485,80.5353,79.68,89,97,9.24,light rain
198,Ponta Do Sol,PT,32.6667,-17.1,66.83,66,0,2.95,clear sky
199,Fort Nelson,CA,58.8053,-122.7002,47.79,43,75,4.61,broken clouds
200,General Pico,AR,-35.6566,-63.7568,53.62,48,0,8.41,clear sky
201,Calvia,ES,39.5657,2.5062,59.92,71,52,2.84,broken clouds
202,Kodiak,US,57.79,-152.4072,40.51,87,100,31.07,moderate rain
203,Lodwar,KE,3.1191,35.5973,84.56,55,85,11.68,overcast clouds
204,Khatanga,RU,71.9667,102.5,7.74,97,95,8.93,overcast clouds
205,Waipawa,NZ,-41.4122,175.5153,60.51,62,78,12.01,broken clouds
206,Zanjan,IR,36.6736,48.4787,52.18,82,72,3.69,broken clouds
207,Black River,JM,18.0264,-77.8487,80.51,75,77,3.96,broken clouds
208,New Norfolk,AU,-42.7826,147.0587,60.3,61,93,4.0,overcast clouds
209,Erdenet,MN,49.0333,104.0833,46.76,37,99,2.62,overcast clouds
210,Grand Gaube,MU,-20.0064,57.6608,77.4,81,15,1.99,few clouds
211,Te Anau,NZ,-45.4167,167.7167,55.35,93,100,6.89,light rain
212,Yeniseysk,RU,58.4497,92.1703,36.82,92,100,7.94,light rain
213,Morant Bay,JM,17.8815,-76.4093,82.02,77,22,10.65,few clouds
214,Havoysund,NO,70.9963,24.6622,28.63,75,100,16.11,light snow
215,Avarua,CK,-21.2078,-159.775,84.25,74,20,9.22,few clouds
216,Okhotsk,RU,59.3833,143.3,35.71,80,33,8.25,scattered clouds
217,Trapani,IT,37.8333,12.6667,59.27,82,0,1.14,clear sky
218,Ucluelet,CA,48.9329,-125.5528,57.09,78,60,1.99,broken clouds
219,Elko,US,41.0002,-115.5012,57.22,43,100,23.0,overcast clouds
220,Ngama,TD,11.7833,17.1667,93.38,30,98,2.06,overcast clouds
221,Moerai,PF,-22.4333,-151.3333,78.26,66,54,8.61,broken clouds
222,Petlawad,IN,23.0,74.8,82.74,52,0,12.66,clear sky
223,Kharhial,IN,20.2833,82.7667,84.15,27,14,5.57,few clouds
224,Pingshan,CN,22.9938,114.7131,67.15,93,100,7.27,moderate rain
225,Karpathos,GR,35.507,27.2132,62.56,82,5,28.77,clear sky
226,Surab,PK,28.4914,66.2585,68.25,19,3,3.29,clear sky
227,Codrington,AU,-38.2667,141.9667,60.42,77,99,13.62,overcast clouds
228,Krasnokamensk,RU,50.0979,118.0369,39.99,30,100,3.53,overcast clouds
229,Bethanien,NA,-26.502,17.1583,55.18,27,0,3.09,clear sky
230,Ghanzi,BW,-21.5667,21.7833,68.76,40,71,5.86,broken clouds
231,Hammerfest,NO,70.6634,23.6821,30.65,69,40,8.05,scattered clouds
